CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,AvgOrderValue,ActiveMonths,PurchasesPerMonth,CLV_12M
14646,2,73,280206.02000000025,1,1,1,111,Lost,3838.4386301369896,11.76951388888889,6.202465173087249,285693.38306948886
18102,1,60,259657.3000000001,1,1,1,111,Lost,4327.621666666669,12.226574074074074,4.907343597355487,254845.51773232268
17450,9,46,194550.79000000007,1,1,1,111,Lost,4229.365000000002,11.97236111111111,3.842182805303883,194999.92176424875
16446,1,2,168472.5,1,3,1,131,At Risk,84236.25,6.832476851851852,0.2927196159410224,295891.2329797434
14911,2,201,143825.05999999976,1,1,1,111,Lost,715.5475621890536,12.402523148148148,16.2063797502375,139157.22626630982
12415,25,21,124914.52999999974,2,1,1,211,Lost,5948.31095238094,10.437731481481482,2.011931427557606,143611.12495176392
14156,10,55,117379.62999999979,1,1,1,111,Lost,2134.175090909087,12.065416666666666,4.558483268294368,116743.21732223622
17511,3,31,91062.37999999996,1,1,1,111,Lost,2937.4961290322567,12.36650462962963,2.5067713900114743,88363.57505433018
16029,39,63,81024.84000000004,3,1,1,311,Needs Attention,1286.108571428572,11.167361111111111,5.64144020894223,87066.05529506876
12346,326,1,77183.6,5,5,1,551,Champions,77183.6,1.0,1.0,926203.2000000001
16684,5,28,66653.55999999997,1,1,1,111,Lost,2380.4842857142844,11.795185185185185,2.373849970169875,67810.95060759252
14096,5,17,65164.78999999947,1,1,1,111,Lost,3833.2229411764392,3.2423148148148146,5.24316760430648,241178.76414312853
13694,4,50,65039.62000000008,1,1,1,111,Lost,1300.7924000000016,12.329629629629629,4.055271853409432,63300.801682186924
15311,1,91,60767.900000000256,1,1,1,111,Lost,667.7791208791236,12.436550925925927,7.317141267061138,58634.809951997326
13089,3,97,58825.830000000075,1,1,1,111,Lost,606.4518556701039,12.23136574074074,7.930430832994257,57713.0939391933
17949,2,45,58510.479999999996,1,1,1,111,Lost,1300.2328888888887,12.341064814814814,3.646362828107005,56893.45048711955
15769,8,26,56252.72000000001,1,1,1,111,Lost,2163.566153846154,12.131388888888889,2.143200604492478,55643.47546539052
15061,4,48,54534.13999999997,1,1,1,111,Lost,1136.1279166666661,12.295532407407407,3.9038569790668474,53223.37075910211
14298,9,44,51527.30000000017,1,1,1,111,Lost,1171.075000000004,11.73363425925926,3.7499038258567388,52697.02347438234
14088,11,13,50491.81000000003,1,1,1,111,Lost,3883.9853846153865,10.404375,1.2494743797681265,58235.282753649335
15749,236,3,44534.3,5,3,1,531,Potential,14844.766666666668,3.233912037037037,0.9276690168569486,165252.36118964964
12931,22,15,42055.95999999999,2,1,1,211,Lost,2803.730666666666,11.204027777777778,1.3388042494638583,45043.75837062563
17841,2,124,40991.569999999985,1,1,1,111,Lost,330.5771774193547,12.396435185185185,10.002875677371406,39680.66889002587
15098,183,3,39916.5,5,3,1,531,Potential,13305.5,1.0,3.0,478998.0
13798,2,57,37153.84999999997,1,1,1,111,Lost,651.8219298245608,12.364513888888888,4.609966919218867,36058.53040455152
16013,4,47,37130.6,1,1,1,111,Lost,790.0127659574467,12.263125,3.8326283064064013,36333.90347077111
16422,18,51,34684.4,2,1,1,211,Lost,680.086274509804,11.731134259259258,4.3474057045887315,35479.33139299704
12748,1,209,33719.73000000047,1,1,1,111,Lost,161.33842105263383,12.432685185185186,16.810527805292203,32546.208158006906
15838,12,19,33643.07999999999,1,1,1,111,Lost,1770.688421052631,11.87023148148148,1.600642753230342,34010.87507264124
17404,5,15,31906.819999999992,1,1,1,111,Lost,2127.121333333333,11.870787037037037,1.2636061916703392,32254.124246808806
17389,1,34,31833.680000000026,1,1,1,111,Lost,936.2847058823537,11.024768518518519,3.0839649778486993,34649.63090683859
13098,2,28,28882.439999999995,1,1,1,111,Lost,1031.515714285714,10.533981481481481,2.6580642892930286,32902.02100784936
14680,26,16,28754.109999999993,2,1,1,211,Lost,1797.1318749999996,11.540138888888889,1.386465115719289,29899.92783641637
13081,12,11,28337.380000000077,1,1,1,111,Lost,2576.1254545454617,11.991064814814814,0.9173497241387298,28358.495700888474
13408,2,62,28117.04000000001,1,1,1,111,Lost,453.5006451612905,12.397824074074075,5.000877543475744,27214.814308066318
17857,5,23,26879.039999999997,1,1,1,111,Lost,1168.653913043478,12.035601851851851,1.9109970804211274,26799.53059018575
16333,8,22,26626.799999999996,1,1,1,111,Lost,1210.3090909090906,10.068726851851851,2.184983297660293,31734.061783713318
13777,1,33,25977.15999999999,1,1,1,111,Lost,787.1866666666664,12.428333333333333,2.655223280139466,25081.87635778462
12753,23,6,21429.389999999992,2,1,1,211,Lost,3571.5649999999987,11.33212962962963,0.5294679990521869,22692.352488417877
12744,52,7,21279.28999999998,3,1,1,311,Needs Attention,3039.8985714285686,8.897037037037038,0.78677878611273,28700.732495212695
16210,2,18,21086.299999999996,1,1,1,111,Lost,1171.4611111111108,12.400208333333333,1.4515885149779069,20405.75393558575
17675,2,31,20374.279999999977,1,1,1,111,Lost,657.2348387096766,12.20650462962963,2.5396295615004902,20029.596302821217
17381,9,29,20275.609999999997,1,1,1,111,Lost,699.1589655172413,12.131967592592593,2.3903789536749596,20055.058517346846
15039,10,47,19914.44000000003,1,1,1,111,Lost,423.7114893617028,11.966782407407408,3.9275386147998415,19969.718832029277
12471,3,30,19824.04999999999,1,1,1,111,Lost,660.8016666666663,12.075185185185186,2.484433947796215,19700.61712112381
12731,24,12,18895.910000000014,2,1,1,211,Lost,1574.659166666668,11.368125,1.0555830446973447,19946.20221012702
15159,2,30,18641.009999999984,1,1,1,111,Lost,621.3669999999995,11.994930555555555,2.5010565806156535,18648.888291928866
12901,9,28,17654.54,1,1,1,111,Lost,630.5192857142857,8.732546296296297,3.206395826595908,24260.33287563022
12678,43,12,17628.460000000014,3,1,1,311,Needs Attention,1469.0383333333345,10.369537037037038,1.1572358493093193,20400.28588011538
14031,8,19,17286.859999999986,1,1,1,111,Lost,909.8347368421046,12.167569444444444,1.5615279688150994,17048.788662941664
17428,1,28,17256.850000000002,1,1,1,111,Lost,616.3160714285715,12.266851851851852,2.2825742365000528,16881.446234205403
13767,3,37,17220.360000000015,1,1,1,111,Lost,465.41513513513553,12.372523148148149,2.9904975369181632,16701.873783192685
13881,4,20,17159.52000000001,1,1,1,111,Lost,857.9760000000006,10.270277777777778,1.9473669975387444,20049.529764963634
16839,9,34,16594.349999999988,1,1,1,111,Lost,488.0691176470585,12.030277777777778,2.826202405966427,16552.585374864335
12921,10,37,16587.090000000022,1,1,1,111,Lost,448.2997297297303,12.135092592592592,3.0490084618377984,16402.43603262655
14607,16,14,16569.5,2,1,1,211,Lost,1183.5357142857142,8.193356481481482,1.7087014377615106,24267.710119705156
15856,5,27,16387.57000000001,1,1,1,111,Lost,606.9470370370374,12.038310185185185,2.2428396996471527,16335.418922998537
17677,2,30,16363.23000000001,1,1,1,111,Lost,545.4410000000004,12.235046296296296,2.4519727407228022,16048.877564071041
15189,2,41,16225.390000000009,1,1,1,111,Lost,395.74121951219536,11.034560185185185,3.715598928450806,17644.98781395994
14051,1,23,15610.38999999999,1,1,1,111,Lost,678.7126086956517,12.196550925925926,1.8857790320958223,15358.824075567802
15513,34,19,14758.220000000001,3,1,1,311,Needs Attention,776.7484210526317,11.337824074074074,1.6758065635757073,15620.161226964807
16133,4,33,14589.039999999997,1,1,1,111,Lost,442.0921212121211,10.493726851851852,3.1447359423288606,16683.155800753975
14866,11,12,14389.900000000001,1,1,1,111,Lost,1199.1583333333335,11.862199074074073,1.011616811104368,14557.064750110749
16705,1,20,14034.990000000002,1,1,1,111,Lost,701.7495000000001,11.935115740740741,1.6757273607100118,14111.290050174848
12681,15,22,13787.540000000023,2,1,1,211,Lost,626.7063636363647,11.76863425925926,1.869375792920998,14058.596465416376
12621,2,20,13689.670000000004,1,1,1,111,Lost,684.4835000000002,12.134930555555556,1.6481346892293254,13537.452006661217
12540,20,17,13400.239999999996,2,1,1,211,Lost,788.2494117647057,11.402592592592592,1.4908890115958036,14102.308636762267
12433,1,7,13375.869999999995,1,1,1,111,Lost,1910.8385714285707,12.428657407407407,0.5632144945783155,12914.543762734713
15498,3,27,13316.399999999994,1,1,1,111,Lost,493.19999999999976,12.133773148148148,2.225194065386061,13169.588556580857
12477,23,6,13219.740000000009,2,1,1,211,Lost,2203.2900000000013,9.295972222222222,0.6454408271204674,17065.119839835064
17735,3,19,13110.019999999982,1,1,1,111,Lost,690.001052631578,12.175347222222221,1.5605304434621419,12921.211783830013
16525,3,26,13027.45000000001,1,1,1,111,Lost,501.0557692307696,12.138333333333334,2.1419744610737332,12878.98393519155
14258,10,9,12669.980000000001,1,1,1,111,Lost,1407.7755555555557,10.937708333333333,0.8228414696862917,13900.51328546123
13078,4,26,12627.940000000006,1,1,1,111,Lost,485.6900000000002,12.109004629629629,2.1471624460676457,12514.263941167144
12536,44,3,12601.829999999996,3,3,1,331,Needs Attention,4200.609999999999,1.0,3.0,151221.95999999996
15640,5,15,12515.659999999994,1,1,1,111,Lost,834.377333333333,12.265162037037037,1.222976097234149,12245.082416887635
16000,3,3,12393.7,1,2,1,121,Lost,4131.233333333334,1.0,3.0,148724.40000000002
17340,30,11,12353.289999999999,2,1,1,211,Lost,1123.0263636363636,11.22613425925926,0.9798564444325307,13204.855436120659
12682,4,31,12288.219999999992,1,1,1,111,Lost,396.39419354838685,12.26113425925926,2.5283142117614186,12026.508876097116
13113,1,24,12245.960000000005,1,1,1,111,Lost,510.2483333333335,12.199259259259259,1.9673325642115491,12045.937944016036
14606,2,93,12156.650000000052,1,1,1,111,Lost,130.71666666666724,12.40349537037037,7.497886460469813,11761.184701893
12557,17,5,11990.96,2,2,1,221,Lost,2398.192,11.839791666666667,0.4223047280533512,12153.213844556669
12939,65,8,11581.8,3,1,1,311,Needs Attention,1447.725,9.004467592592592,0.8884478641003823,15434.738208656712
